fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
70,231,Pembroke,1,0,96.39956331,1,556,267,289,141,383,32,540,1,0,11,0,0,0,4,153,50,37,43,19,3,1,45,37,8,0,0,0,0,0,1140,14,22,8,14,71,16,22,16,0,44,131,107,138,101,184,252
123,231,Pembroke,1,1,96.39956331,1,392,199,193,112,237,43,372,9,0,4,0,0,2,5,110,40,24,26,14,3,3,20,15,5,0,0,0,0,0,1140,14,22,8,14,71,16,22,16,0,44,131,107,138,101,184,252
33,243,Quincy,1,0,40.97681957,1,352,113,239,7,151,194,303,14,0,23,0,0,1,11,24,15,8,1,0,0,0,164,142,22,0,0,0,0,0,991,63,102,16,65,47,49,31,17,28,48,60,140,121,64,95,45
121,243,Quincy,1,1,40.97681957,1,312,153,159,67,213,32,283,8,0,12,0,0,0,9,81,33,13,21,13,1,0,37,24,12,0,1,0,0,0,977,0,0,0,0,0,34,32,15,14,70,56,173,166,63,133,221
73,244,Randolph,1,0,97.78132849,1,758,352,406,182,492,84,238,340,0,93,0,4,41,42,192,69,46,42,18,10,7,89,71,17,0,0,1,0,0,1454,55,89,40,31,0,65,15,0,101,55,226,261,211,131,95,79
136,244,Randolph,1,1,97.78132849,1,195,99,96,39,130,26,79,71,2,18,0,5,8,12,49,16,13,11,8,0,1,20,11,7,1,1,0,0,0,556,0,0,0,0,0,20,0,98,21,41,77,30,96,111,56,6
67,246,Reading,1,0,97.86645591,1,194,105,89,63,118,13,168,3,0,12,3,0,8,0,52,14,12,16,6,4,0,6,2,3,0,1,0,0,0,742,16,0,12,27,0,0,16,0,0,0,22,140,0,40,176,293
134,246,Reading,1,1,97.86645591,1,64,35,29,12,36,16,52,0,0,11,0,0,0,1,19,10,5,1,1,2,0,6,4,2,0,0,0,0,0,879,47,42,78,30,27,27,43,55,0,13,85,135,34,57,44,162
65,248,Revere,1,0,2.813797854,1,73,40,33,18,46,9,37,2,0,6,0,0,0,28,19,5,9,3,1,0,1,5,4,0,1,0,0,0,0,656,123,0,61,0,0,0,26,0,0,17,66,52,114,83,83,31
135,248,Revere,1,1,2.813797854,1,122,56,66,23,81,18,93,0,0,13,0,0,2,14,33,17,8,3,2,3,0,18,12,6,0,0,0,0,0,360,0,0,25,0,7,0,8,0,0,16,26,76,53,45,40,64
